nameV,,
"""DAS""",,
"""Anemometer""",,
"""Customer MV Meter""",,
"""PV Meter""",,
"""Pyranometer""",,
"""EKO""",,
"""Combiner box""",,
"""Cooper Crouse Hinds""",,
"""Inverter""",,
"""Eaton""",,
"""AC-Disconnect""",,
"""DC Disconnects/Recombiner""",,
"""Router""",,
"""Vehicle""",,
"""Tractor""",,
"""Mower""",,
"""Trailer""",,
"""Snowplow""",,
"""Transformer""",,
"""ABB""""",,
"""Customer Recloser""",,
"""Camera""",,
